企业名称,企业注册号,类型,住所,法定代表人,成立时间,注册资本 ,营业期限,营业范围,登记机关,核准时间
宁波中哲蔚尚电子商务有限公司,’913302055612570177,有限责任公司(法人独资),,,,,,,,
盖璞(上海)商业有限公司,’9131000055597727XA,有限责任公司(外国法人独资),,,,,,,,
广州赫基信息科技有限公司,’914401015622816845,有限责任公司(自然人投资或控股的法人独资),,,,,,,,
厦门九牧王投资发展有限公司,’91350200784189242N,有限责任公司(外商投资企业法人独资),,,,,,,,
宁波太平鸟网络科技有限公司,’913302010847810855,有限责任公司(非自然人投资或控股的法人独资),,,,,,,,
绩致时装销售(天津)有限公司,’91120222671480180P,有限责任公司(外商投资企业法人独资),,,,,,,,
迅销(中国)商贸有限公司,’91310000717867461E,有限责任公司(外国法人独资),,,,,,,,
石狮市祺兰图服饰有限公司,’91350581MA347Q4C93,有限责任公司(自然人独资),,,,,,,,
山东秋猛电子商务有限公司,’913701000548898617,有限责任公司(自然人投资或控股),,,,,,,,
苏州柯莱亦贸易有限公司,’91320508MA1INFPC226,有限责任公司,,,,,,,,
上海美特斯邦威服饰股份有限公司,’913100001321787408,,,,,,,,,
上海马克华菲电子商务有限公司,’91310118590436284C,有限责任公司(外商投资企业法人独资),,,,,,,,
绩致时装销售(天津)有限公司,’91120222671480180P,有限责任公司(外商投资企业法人独资),,,,,,,,
